HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
"Arsenal","Wolves",1,1,"D","S Attwell",23,6,17,4,13,3,3,12,2,3,0,1
"Arsenal","QPR",1,0,"H","M Atkinson",16,6,7,3,12,4,11,13,2,2,0,0
"Fulham","Arsenal",2,1,"H","L Probert",21,17,8,10,4,3,6,12,0,1,0,1
"Swansea","Arsenal",3,2,"H","M Oliver",9,14,5,9,9,2,9,9,0,0,0,0
"Arsenal","Man United",1,2,"A","M Dean",12,9,6,5,0,5,15,6,5,2,0,0
"Bolton","Arsenal",0,0,"D","C Foy",14,16,8,7,6,6,8,10,1,1,0,0
"Arsenal","Blackburn",7,1,"H","A Marriner",20,3,11,3,11,1,9,14,2,3,0,1
"Sunderland","Arsenal",1,2,"A","N Swarbrick",8,10,5,8,7,3,7,7,2,1,0,0
"Arsenal","Tottenham",5,2,"H","M Dean",21,8,13,4,7,5,15,12,3,3,0,1
"Liverpool","Arsenal",1,2,"A","M Halsey",12,10,4,7,12,0,11,9,0,1,0,0
"Arsenal","Newcastle",2,1,"H","H Webb",21,5,13,3,6,3,11,12,2,3,0,0
"Everton","Arsenal",0,1,"A","L Mason",7,12,2,8,4,6,11,11,2,1,0,0
"Arsenal","Aston Villa",3,0,"H","P Dowd",20,3,12,2,15,5,6,13,0,5,0,0
"QPR","Arsenal",2,1,"H","M Dean",10,13,8,7,4,6,13,9,5,2,0,0
"Arsenal","Man City",1,0,"H","M Atkinson",12,7,7,2,7,6,13,14,2,4,0,1
"Wolves","Arsenal",0,3,"A","N Swarbrick",9,10,6,7,6,4,9,4,3,0,1,0
"Arsenal","Wigan",1,2,"A","A Marriner",18,12,8,7,9,3,15,13,2,3,0,0
"Arsenal","Chelsea",0,0,"D","M Dean",13,13,8,7,7,7,11,11,3,4,0,0
"Stoke","Arsenal",1,1,"D","C Foy",6,17,4,10,2,6,8,10,1,2,0,0
"Arsenal","Norwich",3,3,"D","A Taylor",20,12,13,6,6,1,8,15,2,3,0,0
"West Brom","Arsenal",2,3,"A","M Jones",12,12,8,8,9,5,12,10,0,1,0,0
"Arsenal","Aston Villa",1,3,"A","A Taylor",16,9,4,4,4,3,15,18,4,5,1,0
"Fulham","Arsenal",1,3,"A","H Webb",16,18,7,7,1,8,10,8,2,2,0,0
"Arsenal","Tottenham",1,0,"H","M Oliver",12,14,5,4,3,6,15,14,2,2,0,0
"Sunderland","Arsenal",1,3,"A","M Atkinson",17,14,2,6,6,7,12,10,1,2,0,0
"Arsenal","Stoke",3,1,"H","M Dean",16,9,8,3,6,7,8,15,0,2,0,0
"Swansea","Arsenal",1,2,"A","M Clattenburg",10,10,3,4,4,3,5,11,3,2,0,0
"West Brom","Arsenal",1,1,"D","L Mason",12,14,4,5,6,2,6,11,1,2,0,0
"Arsenal","Norwich",4,1,"H","L Probert",20,12,11,6,10,1,8,7,0,0,0,0
"Crystal Palace","Arsenal",0,2,"A","C Foy",13,10,4,4,4,3,12,8,0,0,0,1
"Arsenal","Liverpool",2,0,"H","M Atkinson",12,12,7,4,3,5,11,7,2,1,0,0
"Man United","Arsenal",1,0,"H","M Oliver",5,10,2,2,5,6,12,11,2,3,0,0
"Arsenal","Southampton",2,0,"H","M Clattenburg",9,10,4,4,5,6,10,14,0,3,0,0
"Cardiff","Arsenal",0,3,"A","L Mason",10,15,4,6,3,3,6,8,0,3,0,0
"Arsenal","Hull",2,0,"H","A Marriner",20,7,7,2,11,1,9,6,0,0,0,0
"Arsenal","Everton",1,1,"D","H Webb",11,12,5,4,3,2,13,11,0,4,0,0
"Man City","Arsenal",6,3,"H","M Atkinson",22,12,7,6,8,8,12,6,2,1,0,0
"Arsenal","Chelsea",0,0,"D","M Dean",7,13,2,4,8,6,7,11,2,1,0,0
"West Ham","Arsenal",1,3,"A","P Dowd",12,29,5,8,0,10,11,6,1,1,0,0
"Newcastle","Arsenal",0,1,"A","L Probert",11,11,3,5,4,1,10,8,0,3,0,0
"Arsenal","Cardiff",2,0,"H","J Moss",28,8,6,2,12,2,6,11,1,2,0,0
"Aston Villa","Arsenal",1,2,"A","N Swarbrick",11,8,5,4,3,5,12,9,2,2,0,0
"Arsenal","Fulham",2,0,"H","L Probert",22,8,8,2,4,4,5,7,0,0,0,0
"Southampton","Arsenal",2,2,"D","L Mason",13,7,5,4,7,5,11,4,1,1,0,1
"Arsenal","Crystal Palace",2,0,"H","J Moss",11,10,6,2,6,5,9,14,1,2,0,0
"Liverpool","Arsenal",5,1,"H","M Oliver",22,11,12,6,6,6,14,14,1,2,0,0
"Arsenal","Man United",0,0,"D","M Clattenburg",17,6,5,2,5,5,10,14,1,2,0,0
"Arsenal","Sunderland",4,1,"H","A Marriner",12,7,9,3,7,3,10,11,0,1,0,0
"Stoke","Arsenal",1,0,"H","M Jones",8,10,4,2,3,4,13,11,3,1,0,0
"Tottenham","Arsenal",0,1,"A","M Dean",17,7,2,3,5,2,18,11,5,3,0,0
"Chelsea","Arsenal",6,0,"H","A Marriner",21,12,11,5,7,1,14,8,0,1,0,1
"Arsenal","Swansea",2,2,"D","L Probert",13,8,4,2,7,0,11,12,0,1,0,0
"Arsenal","Man City",1,1,"D","M Dean",10,15,3,4,6,6,8,11,1,4,0,0
"Everton","Arsenal",3,0,"H","M Atkinson",14,15,8,5,3,6,6,5,1,2,0,0
"Arsenal","West Ham",3,1,"H","K Friend",14,12,8,2,4,3,14,12,2,2,0,0
"Hull","Arsenal",0,3,"A","J Moss",13,12,4,6,7,0,10,7,1,1,0,0
"Arsenal","Newcastle",3,0,"H","N Swarbrick",20,8,8,3,14,0,9,8,3,2,0,0
"Arsenal","West Brom",1,0,"H","M Jones",15,11,4,1,9,10,9,6,2,2,0,0
"Norwich","Arsenal",0,2,"A","L Mason",11,14,5,8,4,4,6,5,1,0,0,0
