HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
"Wolves","Man United",0,5,"A","A Taylor",7,22,3,18,4,7,6,11,1,1,1,0
"Man United","Fulham",1,0,"H","M Oliver",19,5,16,4,7,1,17,6,1,0,0,0
"Blackburn","Man United",0,2,"A","H Webb",11,14,6,6,2,10,8,5,1,1,0,0
"Man United","QPR",2,0,"H","L Mason",24,9,14,7,11,5,13,10,1,0,0,1
"Wigan","Man United",1,0,"H","P Dowd",11,8,8,3,7,3,8,14,1,2,0,0
"Man United","Aston Villa",4,0,"H","M Halsey",24,10,16,4,11,4,9,7,3,3,0,0
"Man United","Everton",4,4,"D","M Jones",20,17,11,10,5,2,8,11,1,2,0,0
"Man City","Man United",1,0,"H","A Marriner",12,4,5,2,8,8,11,14,3,2,0,0
"Man United","Swansea",2,0,"H","C Foy",26,13,18,9,16,3,12,6,1,0,0,0
"Sunderland","Man United",0,1,"A","H Webb",6,17,5,9,1,9,14,11,3,3,0,0
"Swansea","Man United",1,4,"A","P Dowd",17,15,6,7,7,4,13,10,1,3,0,0
"Man United","Chelsea",0,0,"D","M Atkinson",13,8,3,4,4,1,9,9,0,2,0,0
"Liverpool","Man United",1,0,"H","A Marriner",10,10,5,4,2,7,15,15,2,4,0,0
"Man United","Crystal Palace",2,0,"H","J Moss",19,4,7,0,10,1,8,11,1,2,0,1
"Man City","Man United",4,1,"H","H Webb",18,14,5,3,8,4,8,12,1,2,0,0
"Man United","West Brom",1,2,"A","M Oliver",14,12,6,4,5,8,10,14,3,2,0,0
"Sunderland","Man United",1,2,"A","C Foy",6,13,2,6,4,4,15,13,2,4,0,0
"Man United","Southampton",1,1,"D","M Jones",12,18,5,7,4,4,10,19,2,3,0,0
"Man United","Stoke",3,2,"H","L Mason",19,10,5,5,12,2,8,18,2,6,0,0
"Fulham","Man United",1,3,"A","L Probert",15,10,6,4,4,4,6,12,2,1,0,0
"Man United","Arsenal",1,0,"H","M Oliver",5,10,2,2,5,6,12,11,2,3,0,0
"Cardiff","Man United",2,2,"D","N Swarbrick",14,16,4,5,2,8,15,14,4,2,0,0
"Tottenham","Man United",2,2,"D","M Dean",10,8,4,3,7,7,9,15,1,3,0,0
"Man United","Everton",0,1,"A","M Atkinson",18,15,6,4,7,4,12,12,2,0,0,0
"Man United","Newcastle",0,1,"A","A Marriner",8,9,4,3,4,4,11,18,0,2,0,0
"Aston Villa","Man United",0,3,"A","C Foy",17,14,6,5,3,4,15,8,4,2,0,0
"Man United","West Ham",3,1,"H","M Jones",21,4,8,1,8,2,7,16,1,4,0,0
"Hull","Man United",2,3,"A","M Oliver",17,13,5,4,6,5,12,14,2,2,0,1
"Norwich","Man United",0,1,"A","P Dowd",15,7,4,3,8,3,11,10,4,3,0,0
"Man United","Tottenham",1,2,"A","H Webb",16,9,6,4,13,2,7,7,2,1,0,0
"Man United","Swansea",2,0,"H","C Foy",16,13,5,2,3,5,9,10,0,2,0,0
"Chelsea","Man United",3,1,"H","P Dowd",13,10,6,4,5,4,15,21,1,3,0,1
"Man United","Cardiff",2,0,"H","C Pawson",17,7,5,1,5,5,9,9,0,1,0,0
"Stoke","Man United",2,1,"H","N Swarbrick",13,19,6,4,7,10,18,7,2,2,0,0
"Man United","Fulham",2,2,"D","K Friend",31,6,9,3,10,1,3,6,0,0,0,0
"Arsenal","Man United",0,0,"D","M Clattenburg",17,6,5,2,5,5,10,14,1,2,0,0
"Crystal Palace","Man United",0,2,"A","M Oliver",15,14,6,5,6,4,12,10,0,2,0,0
"West Brom","Man United",0,3,"A","J Moss",14,14,3,5,3,5,11,10,1,2,0,0
"Man United","Liverpool",0,3,"A","M Clattenburg",13,17,1,7,3,4,13,12,1,4,1,0
"West Ham","Man United",0,2,"A","L Mason",10,16,1,7,12,7,8,8,2,1,0,0
"Man United","Man City",0,3,"A","M Oliver",10,13,4,4,5,8,12,8,2,2,0,0
"Man United","Aston Villa",4,1,"H","M Atkinson",9,10,6,1,0,5,10,16,2,4,0,0
"Newcastle","Man United",0,4,"A","K Friend",14,8,4,4,4,5,16,6,1,0,0,0
"Everton","Man United",2,0,"H","M Clattenburg",17,9,5,2,6,5,9,8,2,2,0,0
"Man United","Norwich",4,0,"H","L Probert",25,9,11,2,5,3,13,9,1,1,0,0
"Man United","Sunderland",0,1,"A","H Webb",17,8,2,1,8,0,11,12,2,1,0,0
"Man United","Hull",3,1,"H","C Pawson",18,2,7,2,8,0,13,9,1,1,0,0
"Southampton","Man United",1,1,"D","M Dean",15,8,6,2,6,2,16,5,3,2,0,0
